total_tracks,songs,avg_days,avg_stability,avg_peak_position
1-5,275,68.37454545454545,63.60534545454546,20.323636363636364
6-10,56,51.30357142857143,63.736607142857146,25.946428571428573
11-15,85,50.858823529411765,51.48529411764706,23.6
16-20,119,40.226890756302524,59.95420168067227,22.235294117647058
21-50,40,56.125,48.92075,20.925
50+,0,,,
