performance_segment,songs,avg_days,avg_stability,avg_entry_popularity,avg_peak_popularity,avg_peak_position,avg_duration
High Retention & Stable,29,207.3793103448276,91.12724137931035,52.689655172413794,85.17241379310344,6.241379310344827,3.0725913793103445
Long Retention,262,98.23664122137404,62.75351145038167,61.969465648854964,82.73282442748092,15.396946564885496,3.335957506361323
Low Retention,165,5.915151515151515,24.47539393939394,49.56969696969697,72.80606060606061,24.115151515151513,3.2713706060606063
Stable but Shorter,119,2.546218487394958,95.84705882352941,52.54621848739496,54.983193277310924,36.445378151260506,3.181478991596639
