Metric,Value
Total Observations,27750.0
Unique Songs,575.0
Unique Artists,301.0
Number of Days,555.0
Average Popularity,81.11884684684685
Median Popularity,82.0
Average Duration (min),3.291216586786787
Median Duration (min),3.1875666666666667
Average Chart Position,25.5
Explicit Content %,41.927927927927925
Clean Content %,58.072072072072075
