KPI,Value
Total Unique Songs,575.0
Fresh Songs,76.0
Developing Songs,38.0
Mature Songs,91.0
Established Songs,370.0
Average Song Longevity,57.45
Average Retention Stability,60.05
Average Continuity,91.73
Explicit Songs,250.0
Clean Songs,325.0
