variable,spearman_correlation,p_value
duration_min,0.08395822094756461,0.04417561671060753
total_tracks,-0.25384892149213256,6.604980924189286e-10
entry_position,-0.14879371186247156,0.00034342103469301805
entry_popularity,0.2543067043725542,6.140232680718263e-10
peak_popularity,0.6491595078203681,4.255751125604304e-70
popularity_growth_to_peak,0.4585761426270985,3.0382310760571085e-31
time_to_peak_days,0.6266629063595934,4.658092825106048e-64
