track_key,song,artist,entry_date,exit_date,entry_position,best_position,exit_position,observations,entry_popularity,peak_popularity,exit_popularity,album_type,total_tracks,is_explicit,duration_min,calendar_days,days_on_playlist,continuity,continuity_percentage,peak_date,peak_position_check,time_to_peak_days,rank_slope,popularity_slope,rank_improvement,rank_change_entry_to_exit,rank_movement,popularity_change,popularity_growth_percentage,lifecycle_stage,retention_stability_index,entry_age_days,content_maturity,retention_segment,entry_strength
cruel summer | taylor swift,Cruel Summer,Taylor Swift,2025-06-01,2025-06-01,39,39,39,1,94,94,94,album,18,False,2.9737666666666667,1,1,1.0,100.0,2025-06-01,39,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,379,Established,Short Retention,Weak Entry
headshot | anuel aa,Headshot,Anuel AA,2025-09-22,2025-09-22,29,29,29,1,61,61,61,single,1,True,6.820983333333333,1,1,1.0,100.0,2025-09-22,29,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,492,Established,Short Retention,Weak Entry
heavy is the crown | linkin park,Heavy Is the Crown,Linkin Park,2025-09-27,2025-09-27,49,49,49,1,78,78,78,single,2,False,2.783533333333333,1,1,1.0,100.0,2025-09-27,49,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,497,Established,Short Retention,Weak Entry
fosforito | dellafuente,Fosforito,DELLAFUENTE,2025-06-16,2025-06-16,46,46,46,1,29,29,29,album,10,False,2.9797,1,1,1.0,100.0,2025-06-16,46,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,394,Established,Short Retention,Weak Entry
"flowhot (feat. arcángel, de la ghetto, randy) | the academy: segunda misión & sech & dalex","FLOWHOT (feat. Arcángel, De La Ghetto, Randy)",The Academy: Segunda Misión & Sech & Dalex,2025-03-31,2025-03-31,32,32,32,1,53,53,53,album,9,True,3.8849833333333335,1,1,1.0,100.0,2025-03-31,32,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,317,Established,Short Retention,Weak Entry
"fé, cojones y paciencia | eladio carrion","Fé, Cojones y Paciencia",Eladio Carrion,2025-01-21,2025-01-21,38,38,38,1,66,66,66,album,17,True,3.170716666666667,1,1,1.0,100.0,2025-01-21,38,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,248,Established,Short Retention,Weak Entry
figo | dellafuente & morad,Figo,DELLAFUENTE & Morad,2024-12-02,2024-12-02,44,44,44,1,0,0,0,single,6,False,3.0760833333333335,1,1,1.0,100.0,2024-12-02,44,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,198,Established,Short Retention,Weak Entry
frío | myke towers,FRÍO,Myke Towers,2025-08-24,2025-08-24,36,36,36,1,0,0,0,album,20,True,2.6728833333333335,1,1,1.0,100.0,2025-08-24,36,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,463,Established,Short Retention,Weak Entry
escriurem | chiara oliver & martin urrutia,Escriurem,Chiara Oliver & Martin Urrutia,2025-01-25,2025-01-25,47,47,47,1,56,56,56,single,1,False,3.152433333333333,1,1,1.0,100.0,2025-01-25,47,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,252,Established,Short Retention,Weak Entry
emrata | myke towers,EMRATA,Myke Towers,2024-11-25,2024-11-25,46,46,46,1,0,0,0,album,23,True,3.75845,1,1,1.0,100.0,2024-11-25,46,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,191,Established,Short Retention,Weak Entry
el destello | juanjo bona & martin urrutia,El Destello,Juanjo Bona & Martin Urrutia,2025-10-06,2025-10-06,36,36,36,1,57,57,57,single,1,False,2.6780666666666666,1,1,1.0,100.0,2025-10-06,36,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,506,Established,Short Retention,Weak Entry
duro de verdad pt.2 | los sufridos,Duro De Verdad pt.2,Los Sufridos,2025-09-20,2025-09-20,39,39,39,1,55,55,55,single,1,False,3.40505,1,1,1.0,100.0,2025-09-20,39,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,490,Established,Short Retention,Weak Entry
do it 4 th€ gram | cruz cafuné,do it 4 th€ gram,Cruz Cafuné,2025-07-21,2025-07-21,34,34,34,1,54,54,54,single,6,True,2.5097,1,1,1.0,100.0,2025-07-21,34,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,429,Established,Short Retention,Weak Entry
dios #1 | cruz cafuné,Dios #1,Cruz Cafuné,2024-05-28,2024-05-28,43,43,43,1,56,56,56,album,23,True,3.3354166666666667,1,1,1.0,100.0,2024-05-28,43,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,10,Fresh,Short Retention,Weak Entry
latte (feat. maria becerra) | the academy: segunda misión & sech & dalex,LATTE (feat. Maria Becerra),The Academy: Segunda Misión & Sech & Dalex,2025-03-31,2025-03-31,43,43,43,1,53,53,53,album,9,True,4.342233333333334,1,1,1.0,100.0,2025-03-31,43,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,317,Established,Short Retention,Weak Entry
la gata bajo la lluvia | naiara,La Gata Bajo La Lluvia,Naiara,2025-01-25,2025-01-25,46,46,46,1,55,55,55,single,1,False,2.7446333333333333,1,1,1.0,100.0,2025-01-25,46,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,252,Established,Short Retention,Weak Entry
la noia | angelina mango,la noia,Angelina Mango,2025-05-14,2025-05-14,47,47,47,1,80,80,80,single,1,False,3.152066666666667,1,1,1.0,100.0,2025-05-14,47,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,361,Established,Short Retention,Weak Entry
la torre picasso | arde bogotá,La Torre Picasso,Arde Bogotá,2025-09-15,2025-09-15,46,46,46,1,50,50,50,single,1,False,8.076216666666667,1,1,1.0,100.0,2025-09-15,46,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,485,Established,Short Retention,Weak Entry
let it snow! let it snow! let it snow! (with the b. swanson quartet) | frank sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,2024-12-25,2024-12-25,33,33,33,1,91,91,91,album,14,False,2.590883333333333,1,1,1.0,100.0,2024-12-25,33,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,221,Established,Short Retention,Weak Entry
heavyweight | eladio carrion,Heavyweight,Eladio Carrion,2025-05-04,2025-05-04,49,49,49,1,62,62,62,single,5,True,2.7462666666666666,1,1,1.0,100.0,2025-05-04,49,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,351,Established,Short Retention,Weak Entry
i can do it with a broken heart | taylor swift,I Can Do It With a Broken Heart,Taylor Swift,2025-04-23,2025-04-23,50,50,50,1,82,82,82,album,16,True,3.6334,1,1,1.0,100.0,2025-04-23,50,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,340,Established,Short Retention,Weak Entry
il capo | rauw alejandro,IL Capo,Rauw Alejandro,2025-11-17,2025-11-17,38,38,38,1,65,65,65,album,18,True,4.159983333333333,1,1,1.0,100.0,2025-11-17,38,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,548,Established,Short Retention,Weak Entry
la vuelta | feid,LA VUELTA,Feid,2024-12-02,2024-12-02,48,48,48,1,0,0,0,album,10,False,2.032,1,1,1.0,100.0,2024-12-02,48,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,198,Established,Short Retention,Weak Entry
hardaway | duki,Hardaway,Duki,2025-11-03,2025-11-03,35,35,35,1,62,62,62,album,15,True,3.6072,1,1,1.0,100.0,2025-11-03,35,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,534,Established,Short Retention,Weak Entry
hala madrid ...y nada más | real madrid,Hala Madrid ...y nada más,Real Madrid,2025-06-03,2025-06-03,43,43,43,1,60,60,60,single,1,False,2.95,1,1,1.0,100.0,2025-06-03,43,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,381,Established,Short Retention,Weak Entry
hablame claro | yandel,HABLAME CLARO,Yandel,2025-10-13,2025-10-13,47,47,47,1,45,45,45,album,19,True,2.5828166666666665,1,1,1.0,100.0,2025-10-13,47,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,513,Established,Short Retention,Weak Entry
timeless (with playboi carti) | the weeknd & playboi carti,Timeless (with Playboi Carti),The Weeknd & Playboi Carti,2025-09-29,2025-09-29,50,50,50,1,79,79,79,single,1,True,4.266666666666667,1,1,1.0,100.0,2025-09-29,50,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,499,Established,Short Retention,Weak Entry
probemas mentales | jzaeb & eix,Probemas Mentales,JZAEB & Eix,2025-03-07,2025-03-07,48,48,48,1,55,55,55,single,1,True,3.819183333333333,1,1,1.0,100.0,2025-03-07,48,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,293,Established,Short Retention,Weak Entry
quién es dei v? | dei v,Quién es Dei V?,Dei V,2025-06-16,2025-06-16,50,50,50,1,13,13,13,album,16,True,2.704066666666667,1,1,1.0,100.0,2025-06-16,50,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,394,Established,Short Retention,Weak Entry
quevedo #49 after hour the mixtape | dj saot st,QUEVEDO #49 AFTER HOUR THE MIXTAPE,DJ Saot ST,2024-06-04,2024-06-04,48,48,48,1,20,20,20,album,49,False,2.0,1,1,1.0,100.0,2024-06-04,48,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,17,Fresh,Short Retention,Weak Entry
oye bb | omar montes & nicky jam,Oye BB,Omar Montes & Nicky Jam,2024-11-11,2024-11-11,43,43,43,1,25,25,25,single,1,False,2.4610333333333334,1,1,1.0,100.0,2024-11-11,43,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,177,Mature,Short Retention,Weak Entry
otro round | myke towers,OTRO ROUND,Myke Towers,2024-11-25,2024-11-25,50,50,50,1,0,0,0,album,23,True,2.235516666666667,1,1,1.0,100.0,2024-11-25,50,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,191,Established,Short Retention,Weak Entry
pasaporte | rauw alejandro,Pasaporte,Rauw Alejandro,2025-11-17,2025-11-17,43,43,43,1,64,64,64,album,18,False,4.39085,1,1,1.0,100.0,2025-11-17,43,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,548,Established,Short Retention,Weak Entry
pa' la vuelta | eladio carrion & morad,PA' LA VUELTA,Eladio Carrion & Morad,2024-08-06,2024-08-06,49,49,49,1,62,62,62,single,1,True,3.7340166666666668,1,1,1.0,100.0,2024-08-06,49,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,80,Developing,Short Retention,Weak Entry
pasaporte | rauw alejandro & mr. naisgai,Pasaporte,Rauw Alejandro & Mr. Naisgai,2025-09-29,2025-09-29,49,49,49,1,63,63,63,single,1,False,4.44645,1,1,1.0,100.0,2025-09-29,49,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,499,Established,Short Retention,Weak Entry
mil mujeres | rauw alejandro,Mil Mujeres,Rauw Alejandro,2025-11-17,2025-11-17,36,36,36,1,65,65,65,album,18,True,2.815366666666667,1,1,1.0,100.0,2025-11-17,36,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,548,Established,Short Retention,Weak Entry
mi cuarto | tiago pzk & rels b,Mi Cuarto,Tiago PZK & Rels B,2025-10-27,2025-10-27,46,46,46,1,58,58,58,single,1,False,2.1948,1,1,1.0,100.0,2025-10-27,46,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,527,Established,Short Retention,Weak Entry
