duration_min,songs,avg_days,median_days,avg_stability,avg_peak_position,avg_time_to_peak
<2.5 min,71,39.33802816901409,7.0,64.58450704225352,23.901408450704224,8.492957746478874
2.5-3 min,159,60.23270440251572,14.0,61.187106918238996,23.150943396226417,15.89937106918239
3-3.5 min,163,68.04294478527608,17.0,54.703926380368095,20.742331288343557,6.889570552147239
3.5-4 min,105,55.21904761904762,18.0,64.38819047619047,20.238095238095237,5.9523809523809526
4+ min,77,48.98701298701299,15.0,58.91688311688312,21.38961038961039,7.467532467532467
