track_key,song,artist,entry_date,exit_date,entry_position,best_position,exit_position,observations,entry_popularity,peak_popularity,exit_popularity,album_type,total_tracks,is_explicit,duration_min,calendar_days,days_on_playlist,continuity,continuity_percentage,peak_date,peak_position_check,time_to_peak_days,rank_slope,popularity_slope,rank_improvement,rank_change_entry_to_exit,rank_movement,popularity_change,popularity_growth_percentage
todo contigo | álvaro de luna,Todo Contigo,Álvaro De Luna,2024-05-18,2024-09-23,12,12,33,129,78,80,77,single,1,False,2.758783333333333,129,129,1.0,100.0,2024-05-18,12,0,0.013232334525939145,-0.0071109123434709,0,21,Stable,-1,-1.282051282051282
todo lit | eladio carrion,Todo Lit,Eladio Carrion,2025-01-21,2025-01-21,23,23,23,1,67,67,67,album,17,True,4.032516666666667,1,1,1.0,100.0,2025-01-21,23,0,0.0,0.0,0,0,Stable,0,0.0
toy en el mic | bizarrap & milo j,Toy en el Mic,Bizarrap & Milo j,2024-10-07,2024-10-13,39,24,35,7,67,81,81,single,5,True,2.2842166666666666,7,7,1.0,100.0,2024-10-10,24,3,-0.24999999999999944,2.107142857142855,15,-4,Stable,14,20.8955223880597
tqg | karol g,TQG,KAROL G,2024-05-18,2025-08-08,9,9,48,120,96,96,83,album,17,True,3.2988833333333334,448,448,0.26785714285714285,26.785714285714285,2024-05-18,9,0,0.2846378220709771,-0.09583304396138628,0,39,Stable,-13,-13.541666666666666
tqmqa | eladio carrion,TQMQA,Eladio Carrion,2024-12-17,2025-01-26,47,15,48,32,67,80,74,single,1,False,2.83185,41,41,0.7804878048780488,78.04878048780488,2025-01-21,15,35,0.036290322580645414,0.07166422287390029,32,1,Stable,7,10.44776119402985
tranquila baby | eladio carrion,Tranquila Baby,Eladio Carrion,2025-01-21,2025-01-21,32,32,32,1,67,67,67,album,17,True,2.1333333333333333,1,1,1.0,100.0,2025-01-21,32,0,0.0,0.0,0,0,Stable,0,0.0
trato de estar bien | duki,Trato De Estar Bien,Duki,2025-11-03,2025-11-09,37,37,48,5,59,68,68,album,15,False,3.5568,7,7,0.7142857142857143,71.42857142857143,2025-11-03,37,0,2.2999999999999936,1.9999999999999942,0,11,Declining,9,15.254237288135593
trending remix (with myke towers) | dei v,Trending Remix (with Myke Towers),Dei V,2025-03-03,2025-07-20,45,10,49,137,76,80,65,single,1,True,3.7525666666666666,140,140,0.9785714285714285,97.85714285714285,2025-03-10,10,7,0.19516213340302802,-0.14926633935071937,35,4,Stable,-11,-14.473684210526317
tu ritmo | eladio carrion,Tu Ritmo,Eladio Carrion,2025-01-21,2025-01-21,21,21,21,1,68,68,68,album,17,True,2.6407666666666665,1,1,1.0,100.0,2025-01-21,21,0,0.0,0.0,0,0,Stable,0,0.0
tu silueta | diegote,Tu Silueta,Diegote,2025-07-14,2025-10-28,15,5,50,106,58,79,73,single,1,False,2.8413333333333335,107,107,0.9906542056074766,99.06542056074767,2025-07-31,5,17,0.34924049676297964,0.022324105096102855,10,35,Stable,15,25.862068965517242
tu$$i (with dei v) | yovngchimi,TU$$I (with Dei V),YOVNGCHIMI,2025-03-01,2025-08-16,50,11,50,160,76,79,77,album,16,True,2.72,169,169,0.9467455621301775,94.67455621301775,2025-03-19,11,18,0.15865170514473217,-0.007668756592054608,39,0,Stable,1,1.3157894736842104
tuya | rosalía,TUYA,ROSALÍA,2024-06-11,2024-07-18,6,6,45,38,72,87,87,single,1,True,2.57585,38,38,1.0,100.0,2024-06-11,6,0,1.1906116642958746,0.24368092789145457,0,39,Declining,15,20.833333333333336
tú con él | rauw alejandro,Tú Con Él,Rauw Alejandro,2025-11-17,2025-11-23,12,12,33,7,69,79,79,album,18,False,4.81885,7,7,1.0,100.0,2025-11-17,12,0,3.535714285714286,1.5357142857142883,0,21,Declining,10,14.492753623188406
un deseo | mora,UN DESEO,Mora,2024-08-30,2024-08-31,20,20,42,2,0,69,69,album,15,True,3.64805,2,2,1.0,100.0,2024-08-30,20,0,21.99999999999999,68.99999999999999,0,22,Declining,69,
un desperdicio | rels b,Un Desperdicio,Rels B,2025-04-28,2025-05-15,35,29,44,16,67,83,83,album,13,False,3.7297166666666666,18,18,0.8888888888888888,88.88888888888889,2025-05-08,29,10,0.8808823529411773,0.797058823529409,6,9,Declining,16,23.88059701492537
un preview | bad bunny,UN PREVIEW,Bad Bunny,2024-09-27,2024-11-02,1,1,49,37,0,92,87,single,1,False,2.7597,37,37,1.0,100.0,2024-09-27,1,0,1.4675201517306777,0.3541963015647227,0,48,Declining,87,
