month,explicit_percentage
2024-05,30.142857142857142
2024-06,37.46666666666666
2024-07,39.16129032258064
2024-08,41.225806451612904
2024-09,38.733333333333334
2024-10,49.93548387096774
2024-11,44.53333333333334
2024-12,36.70967741935484
2025-01,38.70967741935484
2025-02,40.64285714285714
2025-03,44.3448275862069
2025-04,40.93333333333333
2025-05,44.193548387096776
2025-06,43.2
2025-07,44.333333333333336
2025-08,43.93333333333334
2025-09,45.46666666666667
2025-10,42.58064516129032
2025-11,44.370370370370374
