album_type,songs,avg_days_on_playlist,median_days_on_playlist,avg_time_to_peak,avg_peak_position,avg_stability
album,292,48.33,7.0,8.64,22.89,56.13
single,283,66.85,29.0,10.35,20.66,64.09
