position,popularity
1,86.54954954954955
2,86.67927927927929
3,85.85585585585585
4,85.14234234234235
5,83.68288288288288
6,84.1027027027027
7,84.61801801801802
8,83.96576576576577
9,83.7963963963964
10,82.53873873873874
11,83.08468468468469
12,83.02882882882884
13,82.5063063063063
14,83.18018018018019
15,82.52792792792793
16,81.12612612612612
17,81.00540540540541
18,81.1045045045045
19,81.32072072072071
20,81.16036036036036
21,80.47207207207207
22,80.45945945945945
23,79.81621621621622
24,80.53153153153153
25,79.7981981981982
26,79.68828828828829
27,79.8990990990991
28,80.03243243243243
29,79.9027027027027
30,79.61261261261261
31,80.54234234234234
32,79.37657657657658
33,80.57117117117117
34,80.71891891891892
35,80.27927927927928
36,80.52972972972972
37,79.85585585585585
38,80.06846846846847
39,79.88108108108108
40,79.53513513513514
41,79.40720720720721
42,79.3009009009009
43,78.71891891891892
44,79.12252252252252
45,79.17657657657658
46,78.95495495495496
47,78.3027027027027
48,78.47927927927928
49,78.15495495495496
50,77.77657657657657
