entry_popularity,songs,avg_days,avg_time_to_peak,avg_peak_position,avg_stability,avg_peak_popularity
"(-0.001, 53.0]",148,44.24324324324324,5.662162162162162,21.986486486486488,56.41844594594595,61.689189189189186
"(53.0, 64.0]",143,39.34965034965035,4.629370629370629,22.377622377622377,57.12447552447553,70.8951048951049
"(64.0, 74.0]",148,55.891891891891895,11.141891891891891,20.58108108108108,65.04074324324324,77.64189189189189
"(74.0, 100.0]",136,92.52941176470588,16.948529411764707,22.28676470588235,61.64404411764706,87.81617647058823
